free_text,address,price,price_meter,rooms,area,more,add_link,scraping_date
"Apartament - dwupokojowy - 48,13 m2 - Miła Resort","Mieszkanie na sprzedaż: ul. Sielska, Dajtki, Olsztyn, warmińsko-mazurskie",481 252 zł,9999 zł/m²,2 pokoje,"48,13 m²",Biuro nieruchomości,/pl/oferta/apartament-dwupokojowy-48-13-m2-mila-resort-ID4omoJ,01/16/24
"Apartament - dwa pokoje - 57,03 m2 - Miła Resort","Mieszkanie na sprzedaż: ul. Sielska, Dajtki, Olsztyn, warmińsko-mazurskie",513 213 zł,8999 zł/m²,2 pokoje,"57,03 m²",Biuro nieruchomości,/pl/oferta/apartament-dwa-pokoje-57-03-m2-mila-resort-ID4omoI,01/16/24
"2 pokoje, balkon, parking","Mieszkanie na sprzedaż: ul. Lawendowa, Redykajny, Olsztyn, warmińsko-mazurskie",350 000 zł,9534 zł/m²,2 pokoje,"36,71 m²",Biuro nieruchomości,/pl/oferta/2-pokoje-balkon-parking-ID4omin,01/16/24
Przestronne dwupokojowe mieszkanie na Zatorzu!,"Mieszkanie na sprzedaż: ul. Jagiellońska, Osiedle Wojska Polskiego, Olsztyn, warmińsko-mazurskie",360 000 zł,7895 zł/m²,2 pokoje,"45,6 m²",Biuro nieruchomości,/pl/oferta/przestronne-dwupokojowe-mieszkanie-na-zatorzu-ID4omhR,01/16/24
Nieruchomość inwestycyjna Stare Miasto Olsztyn,"Mieszkanie na sprzedaż: ul. Hugona Kołłątaja, Śródmieście, Olsztyn, warmińsko-mazurskie",970 000 zł,10 883 zł/m²,3 pokoje,"89,13 m²",Biuro nieruchomości,/pl/oferta/nieruchomosc-inwestycyjna-stare-miasto-olsztyn-ID4omhj,01/16/24
3-pokojowe mieszkanie na Krasickiego,"Mieszkanie na sprzedaż: ul. Ignacego Krasickiego, Pieczewo, Olsztyn, warmińsko-mazurskie",380 000 zł,6291 zł/m²,3 pokoje,"60,4 m²",Biuro nieruchomości,/pl/oferta/3-pokojowe-mieszkanie-na-krasickiego-ID4omhn,01/16/24
Duże M-3 przy ul. Kanta/Jaroty,"Mieszkanie na sprzedaż: ul. Immanuela Kanta, Jaroty, Olsztyn, warmińsko-mazurskie",595 000 zł,8106 zł/m²,3 pokoje,"73,4 m²",Biuro nieruchomości,/pl/oferta/duze-m-3-przy-ul-kanta-jaroty-ID4omfe,01/16/24
"Apartament nad jeziorem Ukiel, Olsztyn","Mieszkanie na sprzedaż: Likusy, Olsztyn, warmińsko-mazurskie",995 000 zł,19 579 zł/m²,3 pokoje,"50,82 m²",Biuro nieruchomości,/pl/oferta/apartament-nad-jeziorem-ukiel-olsztyn-ID4nvH1,01/16/24
Mieszkanie na sprzedaż blisko Starego Miasta,"Mieszkanie na sprzedaż: ul. Grunwaldzka, Śródmieście, Olsztyn, warmińsko-mazurskie",439 000 zł,8201 zł/m²,2 pokoje,"53,53 m²",Biuro nieruchomości,/pl/oferta/mieszkanie-na-sprzedaz-blisko-starego-miasta-ID4lQAA,01/16/24
Mieszkanie z ogródkiem Olsztyn ul. Kiemliczów,"Mieszkanie na sprzedaż: Gutkowo, Olsztyn, warmińsko-mazurskie",570 000 zł,7945 zł/m²,3 pokoje,"71,74 m²",Inwestycja deweloperska,/pl/oferta/mieszkanie-z-ogrodkiem-olsztyn-ul-kiemliczow-ID4o6tQ,01/16/24
Mieszkanie z balkonem i strychem - ul. Kiemliczów,"Mieszkanie na sprzedaż: Gutkowo, Olsztyn, warmińsko-mazurskie",560 000 zł,7000 zł/m²,3 pokoje,80 m²,Inwestycja deweloperska,/pl/oferta/mieszkanie-z-balkonem-i-strychem-ul-kiemliczow-ID4o6uY,01/16/24
Bianco | mieszkanie 4 pok. M18,"Mieszkanie na sprzedaż: ul. Kardynała Stefana Wyszyńskiego, Kormoran, Olsztyn, warmińsko-mazurskie",,,4 pokoje,"89,82 m²",Inwestycja deweloperska,/pl/oferta/bianco-mieszkanie-4-pok-m18-ID4jWDP,01/16/24
Dwa pokoje w idealnym stanie technicznym.,"Mieszkanie na sprzedaż: Kormoran, Olsztyn, warmińsko-mazurskie",369 000 zł,9462 zł/m²,2 pokoje,39 m²,Biuro nieruchomości,/pl/oferta/dwa-pokoje-w-idealnym-stanie-technicznym-ID4oeOm,01/16/24
!!! Mieszkanie inwestycyjne !!!,"Mieszkanie na sprzedaż: ul. Żołnierska, Osiedle Kościuszki, Olsztyn, warmińsko-mazurskie",385 000 zł,9625 zł/m²,2 pokoje,40 m²,Biuro nieruchomości,/pl/oferta/mieszkanie-inwestycyjne-ID4olGB,01/16/24
"Zadbane, dwu pokojowe mieszkanie na Zatorzu","Mieszkanie na sprzedaż: ul. Stanisława Moniuszki, Podleśna, Olsztyn, warmińsko-mazurskie",329 000 zł,7360 zł/m²,2 pokoje,"44,7 m²",Biuro nieruchomości,/pl/oferta/zadbane-dwu-pokojowe-mieszkanie-na-zatorzu-ID4olBV,01/16/24
"Dwupokojowe 37m2, ul. Dworcowa 12, dobre miejsce!!","Mieszkanie na sprzedaż: ul. Dworcowa 12, Pojezierze, Olsztyn, warmińsko-mazurskie",280 000 zł,7568 zł/m²,2 pokoje,37 m²,Biuro nieruchomości,/pl/oferta/dwupokojowe-37m2-ul-dworcowa-12-dobre-miejsce-ID4olnt,01/16/24
Mieszkanie z balkonem i strychem - ul. Kiemliczów,"Mieszkanie na sprzedaż: Gutkowo, Olsztyn, warmińsko-mazurskie",560 000 zł,7000 zł/m²,3 pokoje,80 m²,Inwestycja deweloperska,/pl/oferta/mieszkanie-z-balkonem-i-strychem-ul-kiemliczow-ID4o6uS,01/16/24
Bianco | nowoczesne mieszkanie M5,"Mieszkanie na sprzedaż: ul. Kardynała Stefana Wyszyńskiego, Kormoran, Olsztyn, warmińsko-mazurskie",,,2 pokoje,"46,37 m²",Inwestycja deweloperska,/pl/oferta/bianco-nowoczesne-mieszkanie-m5-ID4jWDH,01/16/24
A.67 2-pokojowy apartament przy jeziorze Ukiel,"Mieszkanie na sprzedaż: ul. Sielska, Dajtki, Olsztyn, warmińsko-mazurskie",724 470 zł,19 222 zł/m²,2 pokoje,"37,69 m²",Inwestycja deweloperska,/pl/oferta/a-67-2-pokojowy-apartament-przy-jeziorze-ukiel-ID4kXT8,01/16/24
"3 pokojowe, oddzielna kuchnia, duży balkon","Mieszkanie na sprzedaż: ul. Władysława Gębika, Pieczewo, Olsztyn, warmińsko-mazurskie",389 000 zł,6538 zł/m²,3 pokoje,"59,5 m²",Biuro nieruchomości,/pl/oferta/3-pokojowe-oddzielna-kuchnia-duzy-balkon-ID4ok5C,01/16/24
Komfortowe mieszkanie na Mroza,"Mieszkanie na sprzedaż: ul. Edwarda Mroza, Jaroty, Olsztyn, warmińsko-mazurskie",640 000 zł,11 228 zł/m²,2 pokoje,57 m²,Biuro nieruchomości,/pl/oferta/komfortowe-mieszkanie-na-mroza-ID4okps,01/16/24
