free_text,address,price,price_meter,rooms,area,more,add_link,scraping_date
Przestronna kawalerka z wanną,"Mieszkanie na sprzedaż: ul. Bolesława Limanowskiego 22, Zatorze, Olsztyn, warmińsko-mazurskie",260 000 zł,12 381 zł/m²,1 pokój,21 m²,21 m²,/pl/oferta/przestronna-kawalerka-z-wanna-ID4oI2L,2024-01-16
"OKAZJA 3 pok podleśna BOROWA, NOWE BUDOWNICTWO win","Mieszkanie na sprzedaż: ul. Borowa, Podleśna, Olsztyn, warmińsko-mazurskie",520 000 zł,10 000 zł/m²,3 pokoje,52 m²,52 m²,/pl/oferta/okazja-3-pok-podlesna-borowa-nowe-budownictwo-win-ID4omSj,2024-01-16
"Osiedle Aurora, M135, z tarasem i spiżarnią","Mieszkanie na sprzedaż: ul. Franciszka Barcza 50, Nagórki, Olsztyn, warmińsko-mazurskie",852 720 zł,12 000 zł/m²,3 pokoje,"71,06 m²",Inwestycja deweloperska,/pl/oferta/osiedle-aurora-m135-z-tarasem-i-spizarnia-ID4evYX,2024-01-16
Warszawska99 | mieszkanie 2-pok. | 35,"Mieszkanie na sprzedaż: al. Aleja Warszawska, Kortowo, Olsztyn, warmińsko-mazurskie",,,2 pokoje,"46,33 m²",Inwestycja deweloperska,/pl/oferta/warszawska99-mieszkanie-2-pok-35-ID4nu1a,2024-01-16
Mieszkanie z ogródkiem Olsztyn ul. Kiemliczów,"Mieszkanie na sprzedaż: Gutkowo, Olsztyn, warmińsko-mazurskie",570 000 zł,7945 zł/m²,3 pokoje,"71,74 m²",Inwestycja deweloperska,/pl/oferta/mieszkanie-z-ogrodkiem-olsztyn-ul-kiemliczow-ID4o6tQ,2024-01-16
Bianco | mieszkanie 3 pok. M14,"Mieszkanie na sprzedaż: ul. Kardynała Stefana Wyszyńskiego, Kormoran, Olsztyn, warmińsko-mazurskie",552 000 zł,8586 zł/m²,3 pokoje,"64,29 m²",Inwestycja deweloperska,/pl/oferta/bianco-mieszkanie-3-pok-m14-ID4jWDT,2024-01-16
2 Pokojowe Nowe - gotowe do wprowadzenia,"Mieszkanie na sprzedaż: ul. Jarocka 21a, Jaroty, Olsztyn, warmińsko-mazurskie",447 009 zł,12 961 zł/m²,2 pokoje,"34,49 m²",Biuro nieruchomości,/pl/oferta/2-pokojowe-nowe-gotowe-do-wprowadzenia-ID4oHWo,2024-01-16
Gotowe do zamieszkania - blisko jezioro - Leśna 10,"Mieszkanie na sprzedaż: Osiedle Nad Jeziorem Długim, Olsztyn, warmińsko-mazurskie",695 000 zł,11 983 zł/m²,3 pokoje,58 m²,58 m²,/pl/oferta/gotowe-do-zamieszkania-blisko-jezioro-lesna-10-ID4ofbm,2024-01-16
Mieszkania z widokiem na jezioro!,"Mieszkanie na sprzedaż: ul. Bałtycka, Likusy, Olsztyn, warmińsko-mazurskie",815 000 zł,17 979 zł/m²,2 pokoje,"45,33 m²",Biuro nieruchomości,/pl/oferta/mieszkania-z-widokiem-na-jezioro-ID4ohJB,2024-01-16
Apartamenty wakacyjne nad jeziorem Ukiel,"Mieszkanie na sprzedaż: ul. Sielska, Dajtki, Olsztyn, warmińsko-mazurskie",420 720 zł,12 000 zł/m²,2 pokoje,"35,06 m²",Biuro nieruchomości,/pl/oferta/apartamenty-wakacyjne-nad-jeziorem-ukiel-ID4fvMx,2024-01-16
Słoneczne 3 pokoje do zamieszkania,"Mieszkanie na sprzedaż: ul. Igora Sikiryckiego, Pieczewo, Olsztyn, warmińsko-mazurskie",399 900 zł,6610 zł/m²,3 pokoje,"60,5 m²",Biuro nieruchomości,/pl/oferta/sloneczne-3-pokoje-do-zamieszkania-ID4oBsQ,2024-01-16
Mieszkanie 3 pokoje blisko centrum Olsztyn,"Mieszkanie na sprzedaż: ul. Dworcowa 6, Pojezierze, Olsztyn, warmińsko-mazurskie",380 000 zł,8225 zł/m²,3 pokoje,"46,2 m²",Biuro nieruchomości,/pl/oferta/mieszkanie-3-pokoje-blisko-centrum-olsztyn-ID4oHHh,2024-01-16
